ID,SMILES,filename,activation_energy,,pka,dipole,C_Polarization,C_s,B_s,,,,,,,,,,stoichiometry,,homo_energy,lumo_energy,,electronegativity,,,,,,,,,,,,,,,Bond_Length,,,,,,Mulliken_charge_B,,NPA_charge_B,,,,,,,,,,,,,,,,,VBur_C,Mulliken_charge_C,,NPA_charge_C
sub1_B20,CC(B1OC(C)(C)C(C)(C)O1)N(C)C,sub1_B20_conf_0.log,33.92,,51.87,1.5247,69.85,29.76,39.3,,,,,,,,,,C10H22BNO2,,-0.25229,0.07139,,0.09045,,,,,,,,,,,,,,,1.579906821,,,,,,0.155729,,1.28066,,,,,,,,,,,,,,,,,0.696900566,-0.032956,,-0.42417
sub1_B21,CC(B1OC(C)(C)C(C)(C)O1)N(C2=CC=CC=C2)C,sub1_B21_conf_0.log,24.8,,48.07,2.1573,70.4,31.26,38.34,,,,,,,,,,C15H24BNO2,,-0.22987,0.03651,,0.09668,,,,,,,,,,,,,,,1.586183174,,,,,,0.165944,,1.28393,,,,,,,,,,,,,,,,,0.710509755,-0.067847,,-0.41617
sub1_B22,CC(B1OC(C)(C)C(C)(C)O1)N(CC2=CC=CC=C2)C,sub1_B22_conf_0.log,34.68,,52.09,1.7167,69.15,31.78,39.53,,,,,,,,,,C16H26BNO2,,-0.25564,0.03342,,0.11111,,,,,,,,,,,,,,,1.585980504,,,,,,0.133042,,1.27195,,,,,,,,,,,,,,,,,0.737649465,-0.035596,,-0.43115
sub1_B23,CC1(C)C(C)(C)OB(COC)O1,sub1_B23_conf_0.log,34.9,,48.43,1.2692,68.24,32.61,38.76,,,,,,,,,,C8H17BO3,,-0.31592,0.07725,,0.119335,,,,,,,,,,,,,,,1.574656957,,,,,,0.119543,,1.22101,,,,,,,,,,,,,,,,,0.519351794,0.136936,,-0.43008
sub1_B24,CC(B1OC(C)(C)C(C)(C)O1)OC,sub1_B24_conf_0.log,38.78,,52.39,1.4804,69.03,30.5,38.81,,,,,,,,,,C9H19BO3,,-0.31191,0.07504,,0.118435,,,,,,,,,,,,,,,1.579878896,,,,,,0.144625,,1.25228,,,,,,,,,,,,,,,,,0.637743864,0.07967,,-0.24981
sub1_B25,CC1(C)C(C)(C)OB(C(CC2=CC=CC=C2)OC)O1,sub1_B25_conf_0.log,31.94,,49.35,0.6339,69.45,30.49,38.23,,,,,,,,,,C15H23BO3,,-0.28892,0.02723,,0.130845,,,,,,,,,,,,,,,1.586349719,,,,,,0.16001,,1.27592,,,,,,,,,,,,,,,,,0.692731278,0.129343,,-0.23365
sub1_B27,CCCCCCCC(B1OC(C)(C)C(C)(C)O1)CC,sub1_B27_conf_1.log,30.29,,54.44,2.148,70.05,28.35,39.96,,,,,,,,,,C11H23BO2,,-0.33556,0.07347,,0.131045,,,,,,,,,,,,,,,1.57385173,,,,,,0.14494,,1.29966,,,,,,,,,,,,,,,,,0.707913782,-0.143182,,-0.65376
sub1_B28,CCCCCCCC(B1OC(C)(C)C(C)(C)O1)C(C)C,sub1_B28_conf_1.log,32.34,,55.2,2.5009,70.41,28.33,40.03,,,,,,,,,,C12H25BO2,,-0.33304,0.07311,,0.129965,,,,,,,,,,,,,,,1.574041575,,,,,,0.146999,,1.31065,,,,,,,,,,,,,,,,,0.746066709,-0.103814,,-0.65782
sub1_B29,CCCCCCCC(B1OC(C)(C)C(C)(C)O1)C(C)(C)C,sub1_B29_conf_1.log,29.43,,55.27,2.2676,70.88,28.76,40.07,,,,,,,,,,C13H27BO2,,-0.33413,0.07293,,0.1306,,,,,,,,,,,,,,,1.579054752,,,,,,0.118581,,1.32765,,,,,,,,,,,,,,,,,0.782488987,-0.038277,,-0.66477
sub1_B30,CCCCCCCC(C)(B1OC(C)(C)C(C)(C)O1)C,sub1_B30_conf_1.log,32.88,,53.1,2.2709,71.14,26.48,39.68,,,,,,,,,,C11H23BO2,,-0.33147,0.07172,,0.129875,,,,,,,,,,,,,,,1.575514028,,,,,,0.207319,,1.33203,,,,,,,,,,,,,,,,,0.780601007,-0.316993,,-0.47045
sub1_B31,CCCCCCCC(CC)(B1OC(C)(C)C(C)(C)O1)CC,sub1_B31_conf_1.log,25.44,,53.34,2.5065,71.37,26.54,40.11,,,,,,,,,,C13H27BO2,,-0.32612,0.072,,0.12706,,,,,,,,,,,,,,,1.58339615,,,,,,0.22881,,1.34801,,,,,,,,,,,,,,,,,0.846994965,-0.277751,,-0.47255
sub1_B32,CCCCCCCC(C(C)C)(B1OC(C)(C)C(C)(C)O1)C(C)C,sub1_B32_conf_1.log,29.23,,56.6,2.5291,72.43,27.14,40.11,,,,,,,,,,C15H31BO2,,-0.3245,0.07187,,0.126315,,,,,,,,,,,,,,,1.588927661,,,,,,0.19625,,1.38497,,,,,,,,,,,,,,,,,0.903713027,-0.209333,,-0.48652
sub1_B33,CC(B1OC(C)(C)C(C)(C)O1)N2CCCC2,sub1_B33_conf_0.log,32.93,,52.8,0.3739,69.81,29.55,39.28,,,,,,,,,,C12H24BNO2,,-0.25305,0.07187,,0.09059,,,,,,,,,,,,,,,1.579491849,,,,,,0.151743,,1.28169,,,,,,,,,,,,,,,,,0.690135305,-0.003849,,-0.41804
sub1_B34,CN1C(B2OC(C)(C)C(C)(C)O2)N(C)C=C1,sub1_B34_conf_0.log,25.73,,48.65,2.312,69.29,33.57,38.49,,,,,,,,,,C11H21BN2O2,,-0.22465,0.05878,,0.082935,,,,,,,,,,,,,,,1.588081274,,,,,,0.02343,,1.26861,,,,,,,,,,,,,,,,,0.694697923,0.270074,,-0.19452
sub1_B35,CC(B1OC(C)(C)C(C)(C)O1)N2CCCCC2,sub1_B35_conf_0.log,30.49,,52.2,0.47,70.22,30.08,39.16,,,,,,,,,,C13H26BNO2,,-0.2499,0.07366,,0.08812,,,,,,,,,,,,,,,1.577131963,,,,,,0.127611,,1.29751,,,,,,,,,,,,,,,,,0.735210824,-0.003951,,-0.42957
sub1_B36,CC(B1OC(C)(C)C(C)(C)O1)N2CCOCC2,sub1_B36_conf_0.log,32.57,,50.66,3.1491,69.91,29.59,38.75,,,,,,,,,,C12H24BNO3,,-0.24475,0.07364,,0.085555,,,,,,,,,,,,,,,1.579647496,,,,,,0.180878,,1.2867,,,,,,,,,,,,,,,,,0.70814978,-0.00209,,-0.40809
sub1_B37,CC(B1OC(C)(C)C(C)(C)O1)S(=O)(C)=O,sub1_B37_conf_0.log,19.72,,27.07,5.5121,71.4,31.42,36.97,,,,,,,,,,C9H19BO4S,,-0.33648,0.05527,,0.140605,,,,,,,,,,,,,,,1.586948498,,,,,,0.200421,,1.26633,,,,,,,,,,,,,,,,,0.696507237,-0.283398,,-0.82647
sub1_B38,CC1(C)C(C)(C)OB(C2CC2)O1,sub1_B38_conf_0.log,32,,49.86,0.5329,69.21,34.14,39.33,,,,,,,,,,C9H17BO2,,-0.33442,0.0782,,0.12811,,,,,,,,,,,,,,,1.547437368,,,,,,0.156033,,1.24267,,,,,,,,,,,,,,,,,0.584251101,-0.154102,,-0.6492
sub1_B39,CC1(C)C(C)(C)OB(C2CCC2)O1,sub1_B39_conf_0.log,36.33,,53.46,0.6942,69.41,31.84,39.71,,,,,,,,,,C10H19BO2,,-0.33299,0.07689,,0.12805,,,,,,,,,,,,,,,1.564337367,,,,,,0.16747,,1.26695,,,,,,,,,,,,,,,,,0.6406545,-0.160165,,-0.64914
sub1_B40,CC1(C)C(C)(C)OB(C2CCCC2)O1,sub1_B40_conf_1.log,35.62,,54.84,2.0945,69.93,29.95,39.83,,,,,,,,,,C11H21BO2,,-0.33497,0.07623,,0.12937,,,,,,,,,,,,,,,1.567083275,,,,,,0.168136,,1.2882,,,,,,,,,,,,,,,,,0.674559471,-0.141705,,-0.65481
sub1_B41,CC1(C)C(C)(C)OB(C2CCCCC2)O1,sub1_B41_conf_0.log,35.82,,55.62,1.5583,70.06,28.4,39.9,,,,,,,,,,C12H23BO2,,-0.33542,0.07204,,0.13169,,,,,,,,,,,,,,,1.574804019,,,,,,0.157314,,1.29347,,,,,,,,,,,,,,,,,0.696428571,-0.165302,,-0.66003
sub1_B42,CC1(C)C(C)(C)OB(C2CCCCCC2)O1,sub1_B42_conf_1.log,35.36,,53.62,2.234,70.31,28.91,39.96,,,,,,,,,,C13H25BO2,,-0.33507,0.07285,,0.13111,,,,,,,,,,,,,,,1.573575817,,,,,,0.170659,,1.30348,,,,,,,,,,,,,,,,,0.715701699,-0.169788,,-0.67023
sub1_B43,CC1(C)C(C)(C)OB(C2N(C(OC(C)(C)C)=O)CCC2)O1,sub1_B43_conf_0.log,38.51,,49.23,2.8865,70.89,32.55,37.71,,,,,,,,,,C15H28BNO4,,-0.28719,0.07968,,0.103755,,,,,,,,,,,,,,,1.582347536,,,,,,0.164499,,1.29671,,,,,,,,,,,,,,,,,0.690921963,0.081835,,-0.4039
sub1_B44,CC1(C)C(C)(C)OB(C2N(C(OC(C)(C)C)=O)CCCC2)O1,sub1_B44_conf_2.log,31.35,,48.66,4.5587,72.95,33.05,33.6,,,,,,,,,,C16H30BNO4,,-0.29291,0.06472,,0.114095,,,,,,,,,,,,,,,1.637659351,,,,,,0.169796,,1.2838,,,,,,,,,,,,,,,,,0.713341724,-0.002331,,-0.3874
sub1_B45,CC(B1OC(C)(C)C(C)(C)O1)[Si](C)(C2=CC=CC=C2)C,sub1_B45_conf_0.log,26.66,,44.86,0.7379,70.81,30.56,40.03,,,,,,,,,,C16H27BO2Si,,-0.29913,0.01725,,0.14094,,,,,,,,,,,,,,,1.562015395,,,,,,0.185341,,1.284,,,,,,,,,,,,,,,,,0.726400252,-0.346224,,-1.1351
sub1_B46,C[Si](C)(C1=CC=CC=C1)C(C)(B2OC(C)(C)C(C)(C)O2)CCC3=CC=CC=C3,sub1_B46_conf_0.log,20.88,,43.47,1.8797,71.65,28.77,40.35,,,,,,,,,,C24H35BO2Si,,-0.28192,0.01615,,0.132885,,,,,,,,,,,,,,,1.567024701,,,,,,0.25443,,1.32938,,,,,,,,,,,,,,,,,0.863829452,-0.464229,,-0.93234
sub1_B47,CC(B1OC(C)(C)C(C)(C)O1)[Si](C(C)(C)C)(C)C,sub1_B47_conf_0.log,22.03,,47.76,1.2341,70.77,30.72,40.32,,,,,,,,,,C14H31BO2Si,,-0.30247,0.07093,,0.11577,,,,,,,,,,,,,,,1.560165045,,,,,,0.155282,,1.28552,,,,,,,,,,,,,,,,,0.74189742,-0.31072,,-1.14569
sub1_B48,CC1(C)C(C)(C)OB(C(C2CCCC2)C3CCCCC3)O1,sub1_B48_conf_0.log,24.55,,55.94,1.4041,71.11,28.79,39.87,,,,,,,,,,C18H33BO2,,-0.32504,0.07586,,0.12459,,,,,,,,,,,,,,,1.577447936,,,,,,0.100367,,1.33441,,,,,,,,,,,,,,,,,0.770531781,0.057713,,-0.65313
sub1_C1,CC(C(C)(C)O1)(C)OB1CB2OC(C)(C)C(C)(C)O2,MQYZGGWWHUGYDR-UHFFFAOYSA-N_conf_0.log,18.73,,35.01,0.244,69.65,28.61,39.82,,,,,,,,,,C13H26B2O4,,-0.33132,0.07437,,0.128475,,,,,,,,,,,,,,,1.564031257,,,,,,0.118523,,1.26165,,,,,,,,,,,,,,,,,0.547592826,-0.100526,,-1.22646
sub1_C2,CC(B1OC(C)(C)C(C)(C)O1)B2OC(C)(C)C(C)(C)O2,JYZYBMYWPQSOCM-UHFFFAOYSA-N_conf_0.log,19.07,,36.95,1.9232,70.33,28.24,39.93,,,,,,,,,,C14H28B2O4,,-0.3284,0.07448,,0.12696,,,,,,,,,,,,,,,1.564500949,,,,,,0.175933,,1.28631,,,,,,,,,,,,,,,,,0.665198238,-0.169655,,-1.03128
sub1_C3,[H]C(B1OC(C)(C)C(C)(C)O1)(B2OC(C)(C)C(C)(C)O2)CC3=CC=CC=C3,LJGGDZUGOBGMDJ-UHFFFAOYSA-N_conf_0.log,19.07,,34.74,0.9361,70.59,27.34,39.92,,,,,,,,,,C20H32B2O4,,-0.2835,0.03654,,0.12348,,,,,,,,,,,,,,,1.567006604,,,,,,0.156432,,1.29169,,,,,,,,,,,,,,,,,0.72057898,-0.115126,,-1.01921
sub1_C4,C=CC(B1OC(C)(C)C(C)(C)O1)B2OC(C)(C)C(C)(C)O2,RKZUUFQCOBRCTL-UHFFFAOYSA-N_conf_0.log,12.47,,23.19,1.5439,70.86,25.42,39.24,,,,,,,,,,C15H28B2O4,,-0.28481,0.06269,,0.11106,,,,,,,,,,,,,,,1.574943159,,,,,,0.190252,,1.30048,,,,,,,,,,,,,,,,,0.679122089,-0.096642,,-1.03687
sub1_C5,CC(C(C)(C)O1)(C)OB1C([Si](C)(C)C)B2OC(C)(C)C(C)(C)O2,IJGSEWTYRWXJFH-UHFFFAOYSA-N_conf_0.log,15.09,,30.96,1.4928,71.27,27.9,40.63,,,,,,,,,,C16H34B2O4Si,,-0.32635,0.06832,,0.129015,,,,,,,,,,,,,,,1.555811341,,,,,,0.16675,,1.28196,,,,,,,,,,,,,,,,,0.746932033,-0.284977,,-1.51963
sub1_C6,CC(B1OC(C)(C)C(C)(C)O1)(B2OC(C)(C)C(C)(C)O2)[Si](C)(C)C,sub1_C6_conf_0.log,17.76,,33.25,1.4721,71.95,26.42,40.77,,,,,,,,,,C17H36B2O4Si,,-0.31107,0.06761,,0.12173,,,,,,,,,,,,,,,1.563828068,,,,,,0.215311,,1.31711,,,,,,,,,,,,,,,,,0.855884204,-0.471572,,-1.32382
sub1_C7,C[Si](C1=CC=CC=C1)(C)C(B2OC(C)(C)C(C)(C)O2)B3OC(C)(C)C(C)(C)O3,sub1_C7_conf_0.log,14.39,,29.62,0.4326,71.21,27.99,40.59,,,,,,,,,,C21H36B2O4Si,,-0.28871,0.02795,,0.13038,,,,,,,,,,,,,,,1.565262501,,,,,,0.165206,,1.30065,,,,,,,,,,,,,,,,,0.75094399,-0.296487,,-1.52919
sub1_C8,CC1(C)OB(C(B2OC(C)(C)C(C)(C)O2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC1(C)C,sub1_C8_conf_0.log,11.69,,25.66,1.6993,71.41,30.51,39.31,,,,,,,,,,C25H35B2O4P,,-0.25186,0.01471,,0.118575,,,,,,,,,,,,,,,1.571954822,,,,,,0.210995,,1.29586,,,,,,,,,,,,,,,,,0.757630585,-0.299888,,-1.32663
sub1_C9,CC1(C)OB(C(CC2=CC=CC=C2)(B3OC(C)(C)C(C)(C)O3)P(C4=CC=CC=C4)C5=CC=CC=C5)OC1(C)C,sub1_C9_conf_0.log,16.5,,24.93,2.0574,72.79,28.09,39.46,,,,,,,,,,C32H41B2O4P,,-0.25186,0.00764,,0.12211,,,,,,,,,,,,,,,1.584126824,,,,,,0.29646,,1.34294,,,,,,,,,,,,,,,,,0.910399622,-0.488871,,-1.12746
sub1_C10,CC1(C)OB(C(B2OC(C)(C)C(C)(C)O2)SC3=CC=CC=C3)OC1(C)C,sub1_C10_conf_0.log,9.07,,23.65,2.2962,71.27,29.87,38.64,,,,,,,,,,C19H30B2O4S,,-0.25303,0.02147,,0.11578,,,,,,,,,,,,,,,1.570891655,,,,,,0.220819,,1.28244,,,,,,,,,,,,,,,,,0.717668345,-0.286005,,-1.12721
sub1_C11,CC1(C)OB(C(B2OC(C)(C)C(C)(C)O2)SCC)OC1(C)C,sub1_C11_conf_0.log,12.44,,27.12,2.3566,71.14,30.32,38.83,,,,,,,,,,C15H30B2O4S,,-0.25029,0.06931,,0.09049,,,,,,,,,,,,,,,1.56764273,,,,,,0.239467,,1.27688,,,,,,,,,,,,,,,,,0.698001888,-0.243759,,-1.12427
sub1_C12,CC(B1OC(C)(C)C(C)(C)O1)(B2OC(C)(C)C(C)(C)O2)SC3=CC=CC=C3,sub1_C12_conf_0.log,8.61,,24.57,1.5029,72.35,28.06,38.47,,,,,,,,,,C20H32B2O4S,,-0.25181,0.02163,,0.11509,,,,,,,,,,,,,,,1.579495597,,,,,,0.289743,,1.31522,,,,,,,,,,,,,,,,,0.819776589,-0.459118,,-0.94305
sub1_C13,CC1(C)OB(C(CC2CC2)(B3OC(C)(C)C(C)(C)O3)SCC)OC1(C)C,sub1_C13_conf_0.log,13.17,,28.09,1.5141,72.36,28.69,39.02,,,,,,,,,,C19H36B2O4S,,-0.25526,0.06958,,0.09284,,,,,,,,,,,,,,,1.574837896,,,,,,0.280091,,1.31057,,,,,,,,,,,,,,,,,0.848096287,-0.420422,,-0.92056
sub1_C14,CCC(B1OC(C)(C)C(C)(C)O1)B2OC(C)(C)C(C)(C)O2,sub1_C14_conf_0.log,15.11,,36.41,0.4893,70.6,27.26,40,,,,,,,,,,C15H30B2O4,,-0.33034,0.07219,,0.129075,,,,,,,,,,,,,,,1.567835057,,,,,,0.150524,,1.29154,,,,,,,,,,,,,,,,,0.702564506,-0.13535,,-1.03461
sub1_C15,CC(C)C(B1OC(C)(C)C(C)(C)O1)B2OC(C)(C)C(C)(C)O2,sub1_C15_conf_0.log,24.17,,36.44,1.1125,70.76,28.66,40.19,,,,,,,,,,C16H32B2O4,,-0.3262,0.0724,,0.1269,,,,,,,,,,,,,,,1.567918096,,,,,,0.152611,,1.29703,,,,,,,,,,,,,,,,,0.742605412,-0.08497,,-1.04761
sub1_C16,CC(C)(C)C(B1OC(C)(C)C(C)(C)O1)B2OC(C)(C)C(C)(C)O2,sub1_C16_conf_0.log,23.26,,37.37,0.5361,71.25,26.56,40.25,,,,,,,,,,C17H34B2O4,,-0.32868,0.06822,,0.13023,,,,,,,,,,,,,,,1.57525047,,,,,,0.12809,,1.31806,,,,,,,,,,,,,,,,,0.782016992,0.006599,,-1.05153
sub1_C17,CC(B1OC(C)(C)C(C)(C)O1)(B2OC(C)(C)C(C)(C)O2)C,sub1_C17_conf_1.log,20.67,,37.34,2.6215,71.15,25.7,40.15,,,,,,,,,,C15H30B2O4,,-0.3269,0.07105,,0.127925,,,,,,,,,,,,,,,1.570430943,,,,,,0.220052,,1.31656,,,,,,,,,,,,,,,,,0.779185022,-0.324734,,-0.84496
sub1_C18,CCC(B1OC(C)(C)C(C)(C)O1)(B2OC(C)(C)C(C)(C)O2)CC,sub1_C18_conf_0.log,21.17,,37.79,0.4142,71.78,24.85,40.22,,,,,,,,,,C17H34B2O4,,-0.32235,0.07225,,0.12505,,,,,,,,,,,,,,,1.575575488,,,,,,0.184447,,1.34392,,,,,,,,,,,,,,,,,0.847938955,-0.287804,,-0.86311
sub1_C19,CC(C)C(B1OC(C)(C)C(C)(C)O1)(B2OC(C)(C)C(C)(C)O2)C(C)C,sub1_C19_conf_0.log,16.9,,38.55,1.3874,72.34,24.45,40.33,,,,,,,,,,C19H38B2O4,,-0.31921,0.06948,,0.124865,,,,,,,,,,,,,,,1.583461158,,,,,,0.217041,,1.36292,,,,,,,,,,,,,,,,,0.910084959,-0.199457,,-0.87424
sub1_C20,CC1(C)OB(C(B2OC(C)(C)C(C)(C)O2)C3=CC=CC=C3)OC1(C)C,sub1_C20_conf_0.log,20.61,,24.4,1.461,70.87,27.16,39.47,,,,,,,,,,C19H30B2O4,,-0.2725,0.0419,,0.1153,,,,,,,,,,,,,,,1.570420761,,,,,,0.164875,,1.2915,,,,,,,,,,,,,,,,,0.715387036,-0.047541,,-1.02351
sub1_C21,CC1(C)OB(C(B2OC(C)(C)C(C)(C)O2)C3=CC=C(C)C=C3)OC1(C)C,sub1_C21_conf_1.log,20.4,,26.37,3.1939,70.83,27.27,39.53,,,,,,,,,,C20H32B2O4,,-0.26322,0.04122,,0.111,,,,,,,,,,,,,,,1.569767907,,,,,,0.164257,,1.29138,,,,,,,,,,,,,,,,,0.714049717,-0.041987,,-1.02362
sub1_C22,CC1(C)OB(C(B2OC(C)(C)C(C)(C)O2)C3=CC=C(C(C)(C)C)C=C3)OC1(C)C,sub1_C22_conf_0.log,14.89,,25.55,1.4785,71.05,25.44,39.07,,,,,,,,,,C23H38B2O4,,-0.26411,0.04122,,0.111445,,,,,,,,,,,,,,,1.57474611,,,,,,0.186036,,1.30819,,,,,,,,,,,,,,,,,0.712712398,-0.040539,,-1.02355
sub1_C23,CC1(C)OB(C(B2OC(C)(C)C(C)(C)O2)C3=CC=C([Si](C)(C)C)C=C3)OC1(C)C,sub1_C23_conf_0.log,17.88,,23.93,1.1695,70.85,27.12,39.38,,,,,,,,,,C22H38B2O4Si,,-0.26939,0.03293,,0.11823,,,,,,,,,,,,,,,1.570168006,,,,,,0.170562,,1.29082,,,,,,,,,,,,,,,,,0.714443046,-0.050804,,-1.02386
sub1_C24,CC1(C)OB(C(B2OC(C)(C)C(C)(C)O2)C3=C(C)C=C(C)C=C3)OC1(C)C,sub1_C24_conf_0.log,7.63,,25.54,0.3536,70.82,29.57,39.79,,,,,,,,,,C21H34B2O4,,-0.2608,0.03971,,0.110545,,,,,,,,,,,,,,,1.564842548,,,,,,0.176372,,1.29063,,,,,,,,,,,,,,,,,0.749134676,-0.008865,,-1.03474
sub1_C25,CC1(C)OB(C(B2OC(C)(C)C(C)(C)O2)C3=C(C)C=C(C)C=C3C)OC1(C)C,sub1_C25_conf_1.log,16.63,,28.92,3.4378,71.32,28.4,39.68,,,,,,,,,,C22H36B2O4,,-0.25759,0.04625,,0.10567,,,,,,,,,,,,,,,1.571884433,,,,,,0.12477,,1.31076,,,,,,,,,,,,,,,,,0.774465072,-0.056234,,-1.05569
sub1_C26,CC1(C)OB(C(B2OC(C)(C)C(C)(C)O2)C3=CC(CCCC4)=C4C=C3)OC1(C)C,sub1_C26_conf_0.log,15.86,,26.16,1.0228,70.8,27.53,39.51,,,,,,,,,,C23H36B2O4,,-0.25997,0.04033,,0.10982,,,,,,,,,,,,,,,1.568397133,,,,,,0.1733,,1.29092,,,,,,,,,,,,,,,,,0.714443046,-0.0383,,-1.02456
sub1_C27,CC1(C)OB(C(B2OC(C)(C)C(C)(C)O2)C3=C(C=CC=C4)C4=CC=C3)OC1(C)C,sub1_C27_conf_0.log,14.15,,22.94,0.3202,71.46,25.28,39.07,,,,,,,,,,C23H32B2O4,,-0.24855,-0.00083,,0.12469,,,,,,,,,,,,,,,1.577597224,,,,,,0.19837,,1.31493,,,,,,,,,,,,,,,,,0.743470736,-0.01546,,-1.03943
sub1_C28,CC1(C)OB(C(B2OC(C)(C)C(C)(C)O2)C3=CC(C=CC=C4)=C4C=C3)OC1(C)C,sub1_C28_conf_0.log,11.83,,22.56,1.3007,70.91,27.44,39.38,,,,,,,,,,C23H32B2O4,,-0.24992,-0.00013,,0.125025,,,,,,,,,,,,,,,1.569943643,,,,,,0.168208,,1.29085,,,,,,,,,,,,,,,,,0.714600378,-0.044378,,-1.02275
sub1_C29,CC1(C)OB(C(B2OC(C)(C)C(C)(C)O2)C3=CC(C)=CC=C3)OC1(C)C,sub1_C29_conf_0.log,16.93,,25,2.0066,71.08,25.48,39.21,,,,,,,,,,C20H32B2O4,,-0.26784,0.04173,,0.113055,,,,,,,,,,,,,,,1.576582646,,,,,,0.18972,,1.31006,,,,,,,,,,,,,,,,,0.712791064,-0.047515,,-1.02376
sub1_C30,CC1(C)OB(C(B2OC(C)(C)C(C)(C)O2)C3=CC=C(OC)C=C3)OC1(C)C,sub1_C30_conf_0.log,19.07,,26.53,1.206,71.04,25.4,39.27,,,,,,,,,,C20H32B2O5,,-0.24847,0.04041,,0.10403,,,,,,,,,,,,,,,1.575736417,,,,,,0.18673,,1.31027,,,,,,,,,,,,,,,,,0.715072373,-0.039638,,-1.02405
sub1_C31,CC1(C)OB(C(B2OC(C)(C)C(C)(C)O2)C3=CC=C(OCC4=CC=CC=C4)C=C3)OC1(C)C,sub1_C31_conf_0.log,20.18,,26.7,2.2881,71.04,25.51,39.27,,,,,,,,,,C26H36B2O5,,-0.25023,0.02432,,0.112955,,,,,,,,,,,,,,,1.575967446,,,,,,0.189238,,1.30968,,,,,,,,,,,,,,,,,0.714600378,-0.043499,,-1.02348
sub1_C32,CC1(C)OB(C(B2OC(C)(C)C(C)(C)O2)C3=CC=C(O[Si](C)(C)C(C)(C)C)C=C3)OC1(C)C,sub1_C32_conf_1.log,18.59,,26.86,3.3953,70.72,28.7,39.64,,,,,,,,,,C25H44B2O5Si,,-0.25239,0.03682,,0.107785,,,,,,,,,,,,,,,1.565772467,,,,,,0.18016,,1.29018,,,,,,,,,,,,,,,,,0.715937697,-0.022711,,-1.02535
sub1_C33,CC1(C)OB(C(B2OC(C)(C)C(C)(C)O2)C3=CC(OC)=CC=C3)OC1(C)C,sub1_C33_conf_0.log,16.33,,23.88,1.6782,71.07,25.5,39.21,,,,,,,,,,C20H32B2O5,,-0.25675,0.04188,,0.107435,,,,,,,,,,,,,,,1.576963169,,,,,,0.191132,,1.31002,,,,,,,,,,,,,,,,,0.71436438,-0.051004,,-1.02252
sub1_C34,CC1(C)OB(C(B2OC(C)(C)C(C)(C)O2)C3=CC(OCC4=CC=CC=C4)=CC=C3)OC1(C)C,sub1_C34_conf_0.log,7.04,,23.25,1.5188,71.1,25.01,39.04,,,,,,,,,,C26H36B2O5,,-0.25847,0.02384,,0.117315,,,,,,,,,,,,,,,1.576280964,,,,,,0.162822,,1.30996,,,,,,,,,,,,,,,,,0.716409692,-0.03063,,-1.02419
sub1_C35,CC1(C)OB(C(B2OC(C)(C)C(C)(C)O2)C3=CC(OC)=C(OC)C=C3)OC1(C)C,sub1_C35_conf_0.log,6.13,,25.55,1.2543,71.09,25.07,39.04,,,,,,,,,,C21H34B2O6,,-0.26134,0.03775,,0.111795,,,,,,,,,,,,,,,1.576268407,,,,,,0.166117,,1.30901,,,,,,,,,,,,,,,,,0.714521712,-0.02964,,-1.02414
sub1_C36,CC1(C)OB(C(B2OC(C)(C)C(C)(C)O2)C3=CC=CO3)OC1(C)C,sub1_C36_conf_0.log,7.09,,22.43,1.7012,71.31,25.98,38.85,,,,,,,,,,C17H28B2O5,,-0.25587,0.06865,,0.09361,,,,,,,,,,,,,,,1.578173164,,,,,,0.187267,,1.30098,,,,,,,,,,,,,,,,,0.693203272,-0.000634,,-1.05385
sub1_C37,CC1(C)OB(C(B2OC(C)(C)C(C)(C)O2)C3=CC=CS3)OC1(C)C,sub1_C37_conf_1.log,8.78,,22.21,3.0124,70.95,28.12,39.09,,,,,,,,,,C17H28B2O4S,,-0.25927,0.03919,,0.11004,,,,,,,,,,,,,,,1.579611937,,,,,,0.186928,,1.30296,,,,,,,,,,,,,,,,,0.706969792,-0.029702,,-1.02936
sub1_C38,CC1(C)OB(C(B2OC(C)(C)C(C)(C)O2)(CC3=CC=CC=C3)C4=CC=CO4)OC1(C)C,sub1_C38_conf_0.log,4.92,,23.1,1.6379,72.2,24.25,39.2,,,,,,,,,,C24H34B2O5,,-0.25946,0.03598,,0.11174,,,,,,,,,,,,,,,1.581556188,,,,,,0.20202,,1.33856,,,,,,,,,,,,,,,,,0.857221523,-0.160225,,-0.86539
sub1_C39,CC1(C)OB(C(B2OC(C)(C)C(C)(C)O2)(CC3=CC=CC=C3)C4=CC=CS4)OC1(C)C,sub1_C39_conf_0.log,5.96,,22.24,2.9028,72.49,28.25,39.37,,,,,,,,,,C24H34B2O4S,,-0.26374,0.02815,,0.117795,,,,,,,,,,,,,,,1.571963513,,,,,,0.232497,,1.33487,,,,,,,,,,,,,,,,,0.866818754,-0.17036,,-0.85544
sub1_C40,CC1(C)OB(C(B2OC(C)(C)C(C)(C)O2)C3=CC=C(C(F)(F)F)C=C3)OC1(C)C,sub1_C40_conf_0.log,16.27,,19.44,3.5247,71.18,25.66,38.74,,,,,,,,,,C20H29B2F3O4,,-0.29044,0.0188,,0.13582,,,,,,,,,,,,,,,1.57717077,,,,,,0.193036,,1.3032,,,,,,,,,,,,,,,,,0.715072373,-0.066469,,-1.0191
